pred_78_A.png; Acc 0.9851624965667725; Dice 0.9025869639058506; clDice 0.9281356413768833; 0-dim Betti 0.0859375; Recall 0.9126685660018994
pred_82_A.png; Acc 0.9823818206787109; Dice 0.8171814232417294; clDice 0.846018805415183; 0-dim Betti 0.0830078125; Recall 0.7389043988689645
pred_88_A.png; Acc 0.9852349758148193; Dice 0.9055057196436228; clDice 0.9158532066590966; 0-dim Betti 0.0888671875; Recall 0.9074677807069589
pred_92_A.png; Acc 0.9801371097564697; Dice 0.8835838581615385; clDice 0.909339014904886; 0-dim Betti 0.0947265625; Recall 0.8539625689104252
pred_98_A.png; Acc 0.9834675788879395; Dice 0.8762028543577695; clDice 0.8643270577059841; 0-dim Betti 0.12890625; Recall 0.8441155932564868

Average:
accuracy: 0.981401530901591
dice: 0.8662000031383361
cldice: 0.8753396725887459
0betti: 0.11334635416666666
recall: 0.8412133428561445
